StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
59234,59415.0,106207.0,,,,,12.18787721,86.93206181,192.307692307692,-22.56,-3.0,,8.04,1.620016718174,K5,1.109,-10.27986,-0.50603,192.03207,-3.823e-06,2.0868e-05,-1.49e-07
59585,59767.0,107192.0,4686.0,,,,12.25574191,87.69998919,46.5549348230912,-27.15,51.95,-4.0,6.27,2.93017138513759,F2V,0.346,-1.86415,-0.12499,46.51742,1.1442e-05,6.908e-06,-3.617e-06
59699,59879.0,107113.0,4683.0,,,,12.28037508,86.43584319,39.6196513470681,211.86,-10.06,-6.0,6.33,3.34044675286048,F4V,0.437,-2.45636,-0.18062,39.54301,1.441e-06,-4.0694e-05,-6.244e-06
61086,61278.0,,,,,,12.55758361,84.67925233,119.331742243437,-123.55,-44.12,,9.41,4.02622009315138,G5,0.842,-10.94808,-1.60959,118.81756,-3.5538e-05,6.7015e-05,-2.366e-06
61204,61396.0,110093.0,,,,,12.5810023,85.73216141,88.1057268722467,-32.99,13.3,,7.21,2.48497930764571,F0,0.249,-6.48103,-0.99347,87.86141,3.464e-06,1.4786e-05,4.22e-07
62712,62908.0,,,,,,12.89300135,85.12945972,108.459869848156,17.79,6.39,,9.54,4.36365460526815,G0,0.589,-8.95822,-2.13332,108.06823,5.423e-06,-8.323e-06,2.85e-07
62748,62945.0,114282.0,,,,,12.89895146,87.6482898,308.641975308642,-10.13,10.96,,7.47,0.0227250510330608,K2,1.425,-12.31556,-2.95313,308.38202,1.2398e-05,1.8559e-05,6.72e-07
62962,63163.0,113591.0,,,,,12.9420253,85.88449157,104.712041884817,-4.58,-4.13,,7.8,2.70001685791873,F8,0.435,-7.28753,-1.8346,104.44203,-2.595e-06,1.744e-06,-1.5e-07
63044,63245.0,,,,,,12.95955701,88.95758734,469.483568075117,7.36,-8.38,,9.79,1.43189801719369,A3,0.36,-8.273,-2.12312,469.40586,-1.4306e-05,-2.0965e-05,-3.46e-07
63560,63762.0,115675.0,,,,,13.06894788,87.11499041,24.3190661478599,-99.82,181.74,,8.77,6.8402655299361,K0,1.102,-1.1764,-0.33808,24.28824,1.7315e-05,1.722e-05,1.078e-06
63807,64009.0,,,,,,13.11614723,88.09090287,434.782608695652,1.11,9.09,,9.72,1.52863918008796,G8,0.958,-13.8703,-4.17243,434.54127,1.901e-05,3.275e-06,6.38e-07
64282,64486.0,116693.0,,,,,13.21819537,86.31627735,259.74025974026,-24.89,-2.36,,8.7,1.6273036475425,G5,1.054,-15.84648,-5.23242,259.20361,-1.2642e-05,2.883e-05,-1.9e-07
64451,64655.0,116459.0,,Gl 506.2,,,13.25342107,84.75210233,53.6480686695279,-130.84,17.6,8.7,7.27,3.62222954008981,G0,0.53,-4.6451,-1.58144,53.42319,-7.422e-06,3.3418e-05,9.279e-06
64657,64861.0,,,,,,13.29496955,84.71566131,46.0617227084293,274.12,-79.18,,9.68,6.3632991172721,K2,0.872,-4.00074,-1.41081,45.86595,3.752e-06,-6.358e-05,-1.628e-06
65368,65572.0,118523.0,,,,,13.44406628,85.2706276,168.350168350168,-40.46,17.64,,7.93,1.79893222490597,F2,0.441,-12.90019,-5.12344,167.77697,1.145e-06,3.5983e-05,1.186e-06
65658,65864.0,,,,,,13.50009498,86.32532112,91.743119266055,16.37,37.1,,9.61,4.79713248970312,G5,0.632,-5.43229,-2.25028,91.55449,1.7998e-05,-4.24e-07,1.057e-06
66921,67134.0,121623.0,,,,,13.75871747,84.51332424,344.827586206897,-3.63,-7.72,,7.73,0.0419899894947822,K0,1.211,-29.53692,-14.64989,343.24774,-1.4204e-05,-2.71e-07,-1.233e-06
67225,67437.0,122882.0,,,,,13.82107899,85.74774453,106.723585912487,-42.62,22.64,,7.3,2.15869795443889,F0,0.413,-7.03088,-3.63142,106.4298,2.59e-07,2.4951e-05,8.68e-07
67737,67951.0,126047.0,,,,,13.91596128,87.39557828,144.092219020173,1.27,11.54,,8.95,3.15679735227427,B9,0.083,-5.741,-3.14824,143.94338,7.487e-06,3.094e-06,3.66e-07
70138,70360.0,134437.0,,,,,14.39577744,87.97457522,225.225225225225,16.86,25.41,,9.01,2.2469148505731,K0,0.985,-6.44504,-4.67172,225.08451,3.3252e-05,1.367e-06,9.8e-07
70312,70534.0,129560.0,,,,,14.42934792,85.27297763,518.134715025907,-34.25,18.47,,8.62,0.0477865450388695,K0,1.204,-34.35014,-25.36234,516.37234,-1.3904e-05,9.667e-05,3.823e-06
70696,70920.0,,,,,,14.50284209,86.1535122,168.634064080944,-34.46,17.91,,9.58,3.44527346682131,F8,0.428,-8.96972,-6.89332,168.25419,-5.582e-06,3.1238e-05,9.82e-07
70806,71030.0,,,,,,14.52735629,88.85886251,529.100529100529,19.43,-9.47,,8.65,0.0323090208662205,K3,1.557,-8.31356,-6.47434,528.99559,1.146e-05,-5.4241e-05,-4.83e-07
70855,71079.0,,,,,,14.53526036,84.30679219,497.512437810945,-15.77,3.59,,9.85,1.36598028710244,A0,0.261,-38.87624,-30.40504,495.05837,-1.6644e-05,3.5267e-05,8.58e-07
70938,71161.0,131616.0,,,,,14.55494247,85.93840516,177.935943060498,-16.1,-4.85,,7.12,0.868681577845306,K0,0.926,-9.88724,-7.81523,177.48905,-1.1885e-05,8.307e-06,-2.96e-07
71501,71725.0,135294.0,,,,,14.67179029,87.21471827,326.797385620915,-10.8,21.68,,6.91,-0.6613928675921,K0,1.46,-12.15118,-10.22385,326.41132,1.5234e-05,3.5178e-05,1.668e-06
71641,71866.0,,,,,,14.699339,85.2949865,314.465408805031,6.66,16.67,,8.87,1.38213559992216,F5,0.42,-19.617,-16.74863,313.40572,2.5853e-05,8.723e-06,2.084e-06
